"","record_id","sobbs_1","sobbs_2","sobbs_3","sobbs_4","sobbs_5","sobbs_6","sobbs_7","sobbs_8","sobbs_9","sobbs_10","sobbs_11","sobbs_12","sobbs_13","sobbs_14","isos_1","isos_2","isos_3","isos_4","isos_5","isos_6","isos_7","isos_8","isos_9","isos_10","isos_11","isos_12","isos_13","isos_14","isos_15","mhi_1","mhi_5","mhi_4","mhi_3","mhi_2"
"1",15,4,4,4,4,4,4,4,4,4,3,4,4,3,4,2,4,5,5,2,3,1,4,1,2,1,2,2,3,2,3,3,4,4,5
"2",29,2,4,2,4,2,5,4,4,2,2,1,5,1,5,1,2,4,4,2,3,1,4,3,2,3,3,3,2,2,5,4,2,3,3
"3",38,3,4,3,4,3,4,4,4,3,4,3,4,3,4,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,5,5,2,2,3
"4",86,2,3,2,3,1,5,3,2,1,1,1,3,1,3,1,2,3,2,1,1,2,2,1,1,1,1,1,1,1,3,5,3,4,6
"5",87,2,5,2,4,2,3,4,4,2,2,3,4,3,4,1,3,4,4,4,1,2,4,1,3,3,1,1,1,1,1,1,6,6,6
"6",95,3,3,1,5,4,5,5,4,2,4,5,4,2,5,1,2,3,4,2,1,1,4,1,1,1,1,1,1,1,4,4,5,2,5
"7",99,2,5,2,4,2,5,5,5,2,4,3,5,3,5,1,1,4,5,3,2,1,4,2,3,2,1,1,1,2,3,4,3,3,3
"8",112,2,4,1,1,1,3,4,4,1,2,2,4,1,4,1,3,4,2,1,1,1,1,1,2,1,1,1,1,1,2,2,5,5,6
"9",115,2,3,1,4,1,5,5,4,1,2,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,2,4
"10",137,1,1,5,1,3,5,1,4,5,5,5,3,5,5,3,1,4,4,2,3,3,2,2,1,2,3,1,3,2,4,6,2,2,3
"11",141,2,4,2,2,2,4,2,5,1,2,1,1,1,5,3,2,2,2,1,2,1,2,1,2,3,1,2,1,1,2,3,3,5,5
"12",168,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,3,5,5,3,3,1,3,3,2,2,1,1,1,3,4,4,2,2,3
"13",180,2,4,3,4,2,5,5,5,2,2,4,3,2,5,1,1,2,2,1,2,2,2,1,1,1,1,1,2,1,3,3,4,4,5
"14",184,2,4,2,4,1,4,4,4,1,2,3,4,1,4,1,1,3,2,2,1,1,2,1,1,2,2,2,2,2,2,3,4,5,5
"15",191,1,4,1,4,2,5,5,5,1,2,3,4,2,5,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,4,2,3,4
"16",274,4,4,4,4,4,4,4,4,2,4,4,3,2,4,2,1,4,4,3,2,3,3,2,1,3,2,2,2,1,4,4,4,4,5
"17",278,2,5,2,4,1,4,4,5,3,2,2,4,3,5,1,3,3,2,1,1,1,3,2,1,2,3,3,3,2,4,5,2,2,5
"18",303,2,4,2,2,2,4,5,4,2,2,4,4,2,4,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,3,4,3,4,6
"19",316,2,3,3,4,4,4,4,4,3,3,3,3,3,3,3,2,4,3,3,2,2,2,2,2,2,1,2,1,1,4,4,5,5,5
"20",317,2,4,3,4,2,4,4,4,3,2,2,4,2,4,4,3,4,4,3,3,4,3,3,3,3,3,3,2,3,3,5,3,5,4
"21",318,2,4,1,4,2,4,4,4,3,2,2,3,2,4,2,3,3,3,3,3,2,3,2,2,2,1,2,1,2,3,4,4,4,5
"22",320,2,3,2,4,2,4,4,4,2,2,3,4,1,4,2,2,3,2,2,2,2,3,2,2,2,1,1,1,1,5,4,5,2,2
"23",321,2,4,2,4,1,4,4,4,1,1,2,4,1,4,1,2,3,2,1,2,1,2,1,1,2,1,1,1,1,5,4,2,2,3
"24",324,3,4,2,3,2,5,3,3,2,2,2,2,4,4,1,2,3,4,3,1,1,2,1,1,1,1,1,1,1,1,1,4,5,6
"25",331,2,3,1,3,1,4,4,4,2,2,5,3,1,3,1,3,4,3,2,1,3,3,2,2,1,1,1,1,1,1,2,5,6,6
"26",335,2,5,4,5,5,5,5,5,4,5,5,5,5,5,1,3,4,4,3,2,1,3,4,2,3,2,4,3,2,5,4,2,2,1
"27",341,1,3,1,5,4,5,5,5,3,4,5,5,5,5,1,3,5,3,5,5,1,3,5,3,3,1,5,1,5,6,6,2,1,1
"28",346,2,4,1,4,2,4,4,4,2,4,3,3,2,4,1,3,4,3,3,2,2,3,1,3,2,1,2,1,1,2,3,5,5,6
"29",347,2,5,5,5,5,5,5,5,5,4,2,5,4,5,3,4,4,4,3,2,3,4,2,3,3,2,2,2,2,5,4,3,3,4
"30",349,2,5,4,5,2,5,5,5,3,1,5,5,1,5,1,3,4,4,2,1,1,2,1,1,1,1,1,1,2,2,2,5,6,6
"31",350,3,4,3,5,4,5,5,5,1,4,4,5,5,5,2,3,4,2,2,3,1,2,3,1,3,1,2,1,3,3,5,5,5,6
"32",352,1,2,2,4,1,5,4,4,1,1,4,2,2,4,4,5,4,4,2,4,3,3,4,4,4,2,1,2,3,2,2,4,5,6
"33",354,1,3,1,1,2,1,1,1,3,4,2,1,4,1,3,2,3,3,2,2,2,3,2,2,3,1,2,1,2,2,2,5,6,6
"34",359,2,4,2,4,1,5,4,4,1,1,1,4,1,4,1,3,3,2,2,2,1,3,2,1,2,1,1,1,2,4,5,3,3,6
"35",361,1,3,2,3,2,4,4,3,1,1,1,3,1,3,1,4,4,3,2,1,1,3,3,2,2,1,2,1,2,2,2,4,5,6
"36",365,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,3,4,4,4,4,3,3,4,2,3,2,4,2,3,3,3,2,2,1
"37",366,3,4,3,5,2,4,4,4,2,3,2,3,3,4,3,3,4,4,4,2,2,3,4,2,3,2,3,2,1,3,5,3,3,5
"38",367,3,4,3,3,2,5,4,3,2,3,4,4,3,4,1,2,3,3,2,1,1,3,1,1,1,1,1,1,1,2,2,3,5,6
"39",373,1,4,2,4,2,4,4,4,2,2,2,3,1,4,1,2,4,3,2,1,1,3,3,2,3,2,1,2,3,2,2,6,5,6
"40",377,1,3,1,2,1,3,3,2,1,1,1,2,1,3,2,1,3,2,2,2,2,2,2,1,2,2,2,2,1,2,2,5,6,6
"41",380,5,3,5,5,3,4,3,4,3,5,4,3,3,4,4,5,5,5,4,3,4,4,4,4,4,3,1,2,4,4,2,1,1,3
"42",383,3,5,3,5,3,5,5,5,3,3,4,4,3,5,1,2,5,3,3,4,2,3,2,3,3,1,2,1,2,5,4,1,2,2
"43",392,1,1,2,3,3,4,2,2,3,3,3,1,3,4,3,1,3,1,1,3,2,1,3,1,2,1,1,1,1,2,3,5,6,6
"44",403,2,3,2,4,4,4,4,4,4,4,4,3,2,4,1,1,1,1,1,3,1,1,3,2,1,1,1,1,1,4,3,5,4,5
"45",425,2,5,1,4,2,5,5,5,2,4,4,5,4,5,1,3,5,5,3,3,3,5,3,4,2,2,3,2,3,5,6,1,2,2
"46",446,3,5,3,5,3,5,5,5,1,3,3,5,5,5,3,3,4,3,4,4,1,4,4,4,4,1,1,1,1,1,1,1,6,6
"47",448,3,5,3,4,3,5,5,5,1,3,3,5,3,5,1,1,4,3,2,1,1,3,2,1,1,1,1,1,1,3,2,5,5,6
"48",462,1,4,3,3,2,4,4,5,2,3,3,4,2,5,1,1,5,5,3,4,1,2,3,2,1,1,2,1,1,5,5,2,1,2
"49",466,2,1,1,4,1,1,1,1,5,1,1,2,5,1,3,3,2,3,1,4,4,1,4,3,4,2,3,1,3,1,1,5,5,6
"50",470,3,3,2,4,3,5,3,2,2,2,3,2,4,1,3,3,3,3,3,4,3,3,4,3,4,2,3,2,4,3,2,5,6,6
"51",472,2,4,2,2,3,5,5,5,2,1,2,4,1,4,2,1,4,3,2,2,2,2,1,1,1,1,2,2,2,5,5,6,3,5
"52",473,2,4,3,4,3,5,4,4,2,2,2,4,3,5,1,1,3,3,2,2,1,3,1,2,2,2,1,2,1,3,3,5,4,6
"53",485,1,3,1,2,1,2,3,4,3,1,3,4,3,4,1,2,3,2,2,2,1,1,1,1,1,1,2,1,2,4,2,5,3,4
"54",487,2,5,1,4,1,5,5,5,1,2,1,5,5,5,1,2,5,5,2,2,1,4,2,2,2,1,2,1,1,2,5,4,5,6
