rowname,sobbs_1,sobbs_2,sobbs_3,sobbs_4,sobbs_5,sobbs_6,sobbs_7,sobbs_8,sobbs_9,sobbs_10,sobbs_11,sobbs_12,sobbs_13,sobbs_14
sobbs_1,NA,0,0,0,0,0,0.001,0,0,0,0,0,0,0
sobbs_2,0,NA,0,0,0.05,0,0,0,0.017,0,0.001,0,0.002,0
sobbs_3,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
sobbs_4,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
sobbs_5,0,0.05,0,0,NA,0.001,0,0,0,0,0,0,0,0
sobbs_6,0,0,0,0,0.001,NA,0,0,0,0,0,0,0,0
sobbs_7,0.001,0,0,0,0,0,NA,0,0,0,0,0,0,0
sobbs_8,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
sobbs_9,0,0.017,0,0,0,0,0,0,NA,0,0,0,0,0.001
sobbs_10,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
sobbs_11,0,0.001,0,0,0,0,0,0,0,0,NA,0,0,0
sobbs_12,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
sobbs_13,0,0.002,0,0,0,0,0,0,0,0,0,0,NA,0
sobbs_14,0,0,0,0,0,0,0,0,0.001,0,0,0,0,NA
